,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price,total,region,Restaurant or Attraction?
0,huCqalKTIWBv8w6fFsG49g,tobalá-the-bronx,Tobalá,https://s3-media4.fl.yelpcdn.com/bphoto/f2PBuC9QagwX3NKpl6jotA/o.jpg,False,https://www.yelp.com/biz/tobal%C3%A1-the-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,27,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,[],+13474276889,(347) 427-6889,919.0570061144156,40.88748545950914,-73.90687009999999,3732 Riverdale Ave,,,The Bronx,10463,US,NY,"['3732 Riverdale Ave', 'The Bronx, NY 10463']",,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
1,I1AqEw-O6spamgtJLNPjBg,leche-y-miel-restaurant-bronx,Leche Y Miel Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/hVTUInvq2eeATF72dFzv9g/o.jpg,False,https://www.yelp.com/biz/leche-y-miel-restaurant-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,333,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"['delivery', 'pickup']",+17187085787,(718) 708-5787,606.0446667725518,40.88373,-73.90183,5761 Broadway,,,Bronx,10463,US,NY,"['5761 Broadway', 'Bronx, NY 10463']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
2,b6jOwyX4iaagw8YjXqq1sA,antonios-trattoria-bronx,Antonio's Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/2JkIBHCbbUTlqdul0mwa1A/o.jpg,False,https://www.yelp.com/biz/antonios-trattoria-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1027,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"['delivery', 'pickup']",+17187336630,(718) 733-6630,3230.1536381320902,40.854131,-73.886601,2370 Belmont Ave,,,Bronx,10458,US,NY,"['2370 Belmont Ave', 'Bronx, NY 10458']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
3,O3PC6d2gRdiU9vyybATNZw,home-bx-steakhouse-bronx-2,Home Bx Steakhouse,https://s3-media4.fl.yelpcdn.com/bphoto/N6Ah_RVqcJY8rnbzxjd2NA/o.jpg,False,https://www.yelp.com/biz/home-bx-steakhouse-bronx-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,42,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"['delivery', 'restaurant_reservation', 'pickup']",+19292433527,(929) 243-3527,790.4599998514637,40.88474,-73.89991,224 W 238th St,,,Bronx,10463,US,NY,"['224 W 238th St', 'Bronx, NY 10463']",,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
4,YllbMI89Czj6rrN-XMdUNw,yukka-latin-bistro-bronx-2,Yukka Latin Bistro,https://s3-media4.fl.yelpcdn.com/bphoto/HbhO7T7aZUHroMTOveH0jg/o.jpg,False,https://www.yelp.com/biz/yukka-latin-bistro-bronx-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,217,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"['delivery', 'pickup']",+13473469338,(347) 346-9338,3030.8142429622267,40.906445,-73.903875,5684 Riverdale Ave,,,Bronx,10471,US,NY,"['5684 Riverdale Ave', 'Bronx, NY 10471']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
5,u4bpvrR8_YL1MQgEThd8mA,tortoise-and-hare-bronx,Tortoise & Hare,https://s3-media2.fl.yelpcdn.com/bphoto/GArYwqtjrzDiGlkzQhNuhA/o.jpg,False,https://www.yelp.com/biz/tortoise-and-hare-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,84,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"['delivery', 'pickup']",+13478437868,(347) 843-7868,1828.3268991942514,40.89415,-73.89668,6115 Broadway,,,Bronx,10471,US,NY,"['6115 Broadway', 'Bronx, NY 10471']",,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
6,3ML4W_QRwpWczS6hFgs3uA,tin-marin-bronx,Tin Marin,https://s3-media2.fl.yelpcdn.com/bphoto/9QGRXBBRaXuzbO7Hv3KN1A/o.jpg,False,https://www.yelp.com/biz/tin-marin-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,368,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,"['delivery', 'pickup']",+17188844800,(718) 884-4800,868.3376466022248,40.8870296802542,-73.9068375260971,3708 Riverdale Ave,,,Bronx,10463,US,NY,"['3708 Riverdale Ave', 'Bronx, NY 10463']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
7,CY1lJBQatCNo4-_ljlS1rA,unique-fusion-restaurant-new-york-2,Unique Fusion Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/DasxOMZ07L0urMMNjg9YGg/o.jpg,False,https://www.yelp.com/biz/unique-fusion-restaurant-new-york-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,102,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'thai', 'title': 'Thai'}]",5.0,"['delivery', 'pickup']",+12124519556,(212) 451-9556,1860.889009990918,40.8670407799303,-73.9210193562469,586 West 207 St,,,New York,10034,US,NY,"['586 West 207 St', 'New York, NY 10034']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
8,PLHPKk7wDlKDNyA1qowV4w,zhongzhong-noodles-bronx-the-bronx,Zhongzhong Noodles - Bronx,https://s3-media3.fl.yelpcdn.com/bphoto/cezbYjQ8-C6YNQmP5oV7hw/o.jpg,False,https://www.yelp.com/biz/zhongzhong-noodles-bronx-the-bronx?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,60,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"['delivery', 'pickup']",+13475974368,(347) 597-4368,3101.1871923622475,40.85658,-73.88415,657 E 189th St,,,The Bronx,10458,US,NY,"['657 E 189th St', 'The Bronx, NY 10458']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
9,rUBFgZU3QTk7IOgpccE8Og,inwood-farm-new-york,Inwood Farm,https://s3-media3.fl.yelpcdn.com/bphoto/pggH1zZpKex-eN-Zhf9hpw/o.jpg,False,https://www.yelp.com/biz/inwood-farm-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,714,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"['delivery', 'pickup']",+12128842111,(212) 884-2111,1265.9232768880572,40.872860841400616,-73.91834640216938,600 W 218th St,,,New York,10034,US,NY,"['600 W 218th St', 'New York, NY 10034']",$$,2200,"{'center': {'longitude': -73.90588760375977, 'latitude': 40.87925361833044}}",Restaurant
