,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,total,region,Restaurant or Attraction?
0,jAaVnUKLITkuhzwXIe0vLQ,cafe-mogador-brooklyn,Cafe Mogador,https://s3-media1.fl.yelpcdn.com/bphoto/79mu5Jkhl1UelPQvNjtk7A/o.jpg,False,https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1388,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"['pickup', 'delivery']",$$,+17184869222,(718) 486-9222,1175.6578125547574,40.719747,-73.959993,133 Wythe Ave,,,Brooklyn,11211,US,NY,"['133 Wythe Ave', 'Brooklyn, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
1,ANnbbwv_ZTFPcNdzSMUiZw,nura-brooklyn-2,Nura,https://s3-media1.fl.yelpcdn.com/bphoto/-bHOT7NdIZIKmoYzNtrY3g/o.jpg,False,https://www.yelp.com/biz/nura-brooklyn-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,106,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,[],,+13476721222,(347) 672-1222,1381.0579733052384,40.72467,-73.95371,46 Norman Ave,,,Brooklyn,11222,US,NY,"['46 Norman Ave', 'Brooklyn, NY 11222']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
2,QQpQujXQGbZBK6BeAokzDA,pomp-and-circumstance-dining-williamsburg,Pomp & Circumstance Dining,https://s3-media4.fl.yelpcdn.com/bphoto/07AlwhzAp2x7viKb74UZmA/o.jpg,False,https://www.yelp.com/biz/pomp-and-circumstance-dining-williamsburg?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,152,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",5.0,"['pickup', 'delivery']",$$$,+17183874861,(718) 387-4861,179.6339934808435,40.714166,-73.949612,577 Lorimer St,,,Williamsburg,11211,US,NY,"['577 Lorimer St', 'Williamsburg, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
3,4DInnPhOyvXFbYpUdO0SMQ,antidote-brooklyn-2,Antidote,https://s3-media1.fl.yelpcdn.com/bphoto/BLX5aFrPlJShwvee1vh7ug/o.jpg,False,https://www.yelp.com/biz/antidote-brooklyn-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,340,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'szechuan', 'title': 'Szechuan'}]",4.5,"['pickup', 'delivery']",$$,+17187822585,(718) 782-2585,1342.5613198039034,40.714253413118925,-73.96544806659222,66 S 2nd St,,,Brooklyn,11249,US,NY,"['66 S 2nd St', 'Brooklyn, NY 11249']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
4,CFR-HzVHKWRMpMAR3LAhzg,montesacro-pinseria-brooklyn-brooklyn,Montesacro Pinseria Brooklyn,https://s3-media4.fl.yelpcdn.com/bphoto/8ZR7ZKxf_RaZyuwMv5VD8g/o.jpg,False,https://www.yelp.com/biz/montesacro-pinseria-brooklyn-brooklyn?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,237,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"['pickup', 'delivery']",$$,+13479161062,(347) 916-1062,149.08787907869174,40.71338,-73.95136,432 Union Ave,,,Brooklyn,11211,US,NY,"['432 Union Ave', 'Brooklyn, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
5,eMSTTuOUlKEnSOr8lPp3Xg,ammazzacaffè-brooklyn,Ammazzacaffè,https://s3-media2.fl.yelpcdn.com/bphoto/Nf76L8uhSsD0bZAvqM_yCg/o.jpg,False,https://www.yelp.com/biz/ammazzacaff%C3%A8-brooklyn?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,289,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"['pickup', 'delivery']",$$,+19292502875,(929) 250-2875,449.4177672529795,40.7113172,-73.9446243,702 Grand St,,,Brooklyn,11211,US,NY,"['702 Grand St', 'Brooklyn, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
6,8JDwcklaawqYprHg0c9aIA,the-brooklyn-tree-brooklyn-2,The Brooklyn Tree,https://s3-media2.fl.yelpcdn.com/bphoto/Hp4aqZMX4LhKzUd4W6yD_Q/o.jpg,False,https://www.yelp.com/biz/the-brooklyn-tree-brooklyn-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,206,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['pickup', 'delivery']",$$,+19179090307,(917) 909-0307,885.607414831563,40.70734,-73.94186,188 Montrose Ave,,,Brooklyn,11206,US,NY,"['188 Montrose Ave', 'Brooklyn, NY 11206']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
7,6gzQLjzJk25ePm_JS7ZAug,esme-brooklyn-2,Esme,https://s3-media1.fl.yelpcdn.com/bphoto/wFR4UJ0n96dnBqc-sHTosQ/o.jpg,False,https://www.yelp.com/biz/esme-brooklyn-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,398,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",$$,+13476893071,(347) 689-3071,2331.32802005314,40.73322607409529,-73.95492695812946,999 Manhattan Ave,,,Brooklyn,11222,US,NY,"['999 Manhattan Ave', 'Brooklyn, NY 11222']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
8,FZYmp5c1VtWNfe635G_wsQ,taste-of-heaven-brooklyn,Taste of Heaven,https://s3-media3.fl.yelpcdn.com/bphoto/N-SMunz8diM1H1pItuaGAw/o.jpg,False,https://www.yelp.com/biz/taste-of-heaven-brooklyn?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,235,"[{'alias': 'soulfood', 'title': 'Soul Food'}]",5.0,"['pickup', 'delivery']",$$,+17185763146,(718) 576-3146,910.3897587587762,40.717115,-73.940613,251 Jackson St,,,Brooklyn,11211,US,NY,"['251 Jackson St', 'Brooklyn, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
9,ILwCoB-PD8n9ObGk_sac0A,recette-brooklyn,Recette,https://s3-media1.fl.yelpcdn.com/bphoto/Yuu75v9ai-lso_Wp1z5rRQ/o.jpg,False,https://www.yelp.com/biz/recette-brooklyn?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,94,"[{'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"['pickup', 'delivery']",,+13472278829,(347) 227-8829,569.8079793593108,40.71326399774355,-73.95637202012806,103 Havemeyer St,,,Brooklyn,11211,US,NY,"['103 Havemeyer St', 'Brooklyn, NY 11211']",9800,"{'center': {'longitude': -73.94966125488281, 'latitude': 40.71264321986641}}",Restaurant
