,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,total,region,Restaurant or Attraction?
0,2iW5TU4W0BN8LYBzVmO9Qw,the-honey-well-new-york,The Honey Well,https://s3-media3.fl.yelpcdn.com/bphoto/SM_sUeKeaKq2V-QNIoz7PQ/o.jpg,False,https://www.yelp.com/biz/the-honey-well-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,384,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",4.5,"['restaurant_reservation', 'delivery', 'pickup']",$$,,,305.8586349552245,40.82849,-73.94862,3604 Broadway,,,New York,10031,US,NY,"['3604 Broadway', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
1,zWem2SAbFc7lIYR2y9DE0g,harlem-public-new-york,Harlem Public,https://s3-media2.fl.yelpcdn.com/bphoto/7LGb-GvBPiqrN2uCY-6sew/o.jpg,False,https://www.yelp.com/biz/harlem-public-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1175,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"['delivery', 'pickup']",$$,+12129399404,(212) 939-9404,337.0537209125883,40.828717774457,-73.9484412254424,3612 Broadway,,,New York,10031,US,NY,"['3612 Broadway', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
2,NebgteFykeM1gwiVgPcCHw,the-handpulled-noodle-new-york,The Handpulled Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/aANjGGFeowOqoVFG9sSCIA/o.jpg,False,https://www.yelp.com/biz/the-handpulled-noodle-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1112,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"['delivery', 'pickup']",$$,+19172620213,(917) 262-0213,296.75662872131244,40.828384,-73.948674,3600 Broadway,Ste 3,,New York,10031,US,NY,"['3600 Broadway', 'Ste 3', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
3,cB0WLUQpx9E5_DAVQ0paug,hamilton-hall-new-york-2,Hamilton Hall,https://s3-media2.fl.yelpcdn.com/bphoto/S6z-k-IbjhcZXjwDLQ3xWw/o.jpg,False,https://www.yelp.com/biz/hamilton-hall-new-york-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,59,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['restaurant_reservation', 'delivery', 'pickup']",$$,+16464549797,(646) 454-9797,231.7832104474256,40.8250528,-73.9519092,3493 Broadway,,,New York,10031,US,NY,"['3493 Broadway', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
4,yBoQLns2X6DRkYNdTaSQ6g,chelas-new-york,Chelas,https://s3-media3.fl.yelpcdn.com/bphoto/wtxfp6E2eGgMn5ayYoAuRw/o.jpg,False,https://www.yelp.com/biz/chelas-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,34,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",,+12129180230,(212) 918-0230,1163.684085161864,40.83529,-73.943588,3820 Broadway,,,New York,10032,US,NY,"['3820 Broadway', 'New York, NY 10032']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
5,5gcrlif2enGxj7eKAoz-5g,terravita-new-york-3,Terravita,https://s3-media4.fl.yelpcdn.com/bphoto/IjC02spyoaYbcUSmDWkQ6g/o.jpg,False,https://www.yelp.com/biz/terravita-new-york-3?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,334,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['delivery', 'pickup']",$$,+16463704371,(646) 370-4371,2658.6564355738055,40.84807,-73.93803,4193 Broadway,,,New York,10033,US,NY,"['4193 Broadway', 'New York, NY 10033']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
6,h8J10FpJGaU_4OvP2MgoKQ,oso-new-york,Oso,https://s3-media2.fl.yelpcdn.com/bphoto/ChfPriR_F-zjiho-dYVhzA/o.jpg,False,https://www.yelp.com/biz/oso-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,356,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",$$,+16468583139,(646) 858-3139,430.54372605197227,40.82195,-73.9502399,1618 Amsterdam Ave At 140th St,,,New York,10031,US,NY,"['1618 Amsterdam Ave At 140th St', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
7,wNhO_9gY-ZRZEBSA2anXtA,native-noodles-new-york-2,Native Noodles,https://s3-media4.fl.yelpcdn.com/bphoto/WLdO4ejjR0YeEqIrlmDflA/o.jpg,False,https://www.yelp.com/biz/native-noodles-new-york-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,155,"[{'alias': 'singaporean', 'title': 'Singaporean'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"['delivery', 'pickup']",$$,+16463706290,(646) 370-6290,1699.7290874483394,40.83824104348622,-73.93765379999999,2129 Amsterdam Ave,,,New York,10032,US,NY,"['2129 Amsterdam Ave', 'New York, NY 10032']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
8,81ZsY8vrWQmKkC5IfBjCoQ,bird-in-hand-new-york,Bird in Hand,https://s3-media4.fl.yelpcdn.com/bphoto/Oo5baQExP3zvkx5SahAM-A/o.jpg,False,https://www.yelp.com/biz/bird-in-hand-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,19,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"['delivery', 'pickup']",,+18456697371,(845) 669-7371,209.36439620536353,40.8275271,-73.95017716712893,3569 Broadway 146th st,,,New York,10031,US,NY,"['3569 Broadway 146th st', 'New York, NY 10031']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
9,n4m37Dm2Y5MUPF_dFGG_ww,fort-washington-public-house-new-york,Fort Washington Public House,https://s3-media1.fl.yelpcdn.com/bphoto/S4i9ULE9HpDsaoI0SpegTA/o.jpg,False,https://www.yelp.com/biz/fort-washington-public-house-new-york?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,118,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"['delivery', 'pickup']",$$,+16468132210,(646) 813-2210,1633.7255650988145,40.8390591026124,-73.9410637691617,3938 Broadway,,,New York,10032,US,NY,"['3938 Broadway', 'New York, NY 10032']",3700,"{'center': {'longitude': -73.9493179321289, 'latitude': 40.8257600576562}}",Restaurant
