,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price,total,region,Restaurant or Attraction?
0,c6A3P3Az_Ft2NT2ReqqxDw,kpot-korean-bbq-and-hot-pot-staten-island,KPOT Korean BBQ & Hot Pot,https://s3-media4.fl.yelpcdn.com/bphoto/ml2RqgeZlpuk0w0wABDe5A/o.jpg,False,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,70,"[{'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,[],+19178300159,(917) 830-0159,837.3028013062021,40.6248,-74.14673,1756 Forest Ave,,,Staten Island,10314,US,NY,"['1756 Forest Ave', 'Staten Island, NY 10314']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
1,jUvcr86vD9BIO2jh6kRqdA,sallys-southern-staten-island,Sally's Southern,https://s3-media1.fl.yelpcdn.com/bphoto/RG1yaDRzGbTGS0H61DrEuw/o.jpg,False,https://www.yelp.com/biz/sallys-southern-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,137,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",+17187272559,(718) 727-2559,3010.8623129618704,40.630993,-74.10356033,427 Forest Ave,,,Staten Island,10301,US,NY,"['427 Forest Ave', 'Staten Island, NY 10301']",$$,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
2,jPA2Y49USanbWUaATy2M1Q,whiskey-hideaway-staten-island,Whiskey Hideaway,https://s3-media1.fl.yelpcdn.com/bphoto/_mR8ifzsCxMdtuXh75Ju-Q/o.jpg,False,https://www.yelp.com/biz/whiskey-hideaway-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,10,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"['delivery', 'pickup']",+17185244662,(718) 524-4662,3275.110797479287,40.62652319363877,-74.17785355487108,2645 Forest Ave,,,Staten Island,10303,US,NY,"['2645 Forest Ave', 'Staten Island, NY 10303']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
3,qjXesvWGdDlLDKFWTlf88A,goku-kitchen-staten-island,Goku Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/I-pXYE067zDSLirHgSAITw/o.jpg,False,https://www.yelp.com/biz/goku-kitchen-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,18,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"['delivery', 'pickup']",+17185248966,(718) 524-8966,472.8731679756421,40.625215,-74.136438,1419 Forest Ave,,,Staten Island,10302,US,NY,"['1419 Forest Ave', 'Staten Island, NY 10302']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
4,Y3zM9U17UdLTKXJWD-mBQA,farington-s-cafe-and-restaurant-staten-island,Farington’s Cafe and Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/uGogFNXYibZJOB5FiWiSaQ/o.jpg,False,https://www.yelp.com/biz/farington-s-cafe-and-restaurant-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,8,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"['delivery', 'restaurant_reservation', 'pickup']",+19178300059,(917) 830-0059,3714.9836212911455,40.60051166481753,-74.1623097382383,1949 Richmond Ave,Ste 7,,Staten Island,10314,US,NY,"['1949 Richmond Ave', 'Ste 7', 'Staten Island, NY 10314']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
5,Ww-dSpGAoJ-UjCKXMaC0Vw,angels-tavern-staten-island,Angel's Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/XBu85a4IdPWz_XJZz6XGhA/o.jpg,False,https://www.yelp.com/biz/angels-tavern-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,7,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,[],+13478252230,(347) 825-2230,1838.1385660403487,40.617088767867635,-74.12398306039181,432 Manor Rd,,,Staten Island,10314,US,NY,"['432 Manor Rd', 'Staten Island, NY 10314']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
6,UuiW2A-O11Q0baqSEUMvZA,miyabi-asian-fusion-staten-island,Miyabi Asian Fusion,https://s3-media3.fl.yelpcdn.com/bphoto/zijvXqjeQJtLZuzvYDmw1Q/o.jpg,False,https://www.yelp.com/biz/miyabi-asian-fusion-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,402,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,"['delivery', 'pickup']",+17188768088,(718) 876-8088,532.3815558977963,40.6258092020868,-74.1345641477488,1348 Forest Ave,,,Staten Island,10302,US,NY,"['1348 Forest Ave', 'Staten Island, NY 10302']",$$,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
7,QAWPocUSjG4hsjnQrnqktQ,sandwich-and-pickle-staten-island,Sandwich And Pickle,https://s3-media4.fl.yelpcdn.com/bphoto/CFEFZtoWD89IBuiyZnHXsw/o.jpg,False,https://www.yelp.com/biz/sandwich-and-pickle-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,44,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,[],+17189711570,(718) 971-1570,3729.1812212587743,40.600477980533505,-74.16255715729291,1949 Richmond Ave,,,Staten Island,10314,US,NY,"['1949 Richmond Ave', 'Staten Island, NY 10314']",$$,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
8,k1CZco0zQH_DoKxHLsqclQ,la-bottiglia-staten-island,La Bottiglia,https://s3-media3.fl.yelpcdn.com/bphoto/ub20Rwhp2g9Eh9AGYkFZ4A/o.jpg,False,https://www.yelp.com/biz/la-bottiglia-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,9,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,[],+19293640505,(929) 364-0505,646.2442670556215,40.63418,-74.13582,293 Port Richmond Ave,,,Staten Island,10302,US,NY,"['293 Port Richmond Ave', 'Staten Island, NY 10302']",,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
9,Exlgsnzm5KjkooYE7AH3Uw,yolpaqui-taqueria-staten-island,Yolpaqui Taqueria,https://s3-media3.fl.yelpcdn.com/bphoto/qlBLsjHZYYI34896nMmJwA/o.jpg,False,https://www.yelp.com/biz/yolpaqui-taqueria-staten-island?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,158,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+17185244201,(718) 524-4201,478.12486455978143,40.62504,-74.13652,1431 Forest Ave,,,Staten Island,10302,US,NY,"['1431 Forest Ave', 'Staten Island, NY 10302']",$$,680,"{'center': {'longitude': -74.13917541503906, 'latitude': 40.62893359150888}}",Restaurant
